entity_uuid,customer_uuid,created_at,updated_at
3db39fd2-7555-5a60-d7ff-b30c0a5e9915,42a600bf-c87b-1718-4f67-2fb0f38c3221,2016-04-16 05:58:48 +0000,2016-04-16 05:58:48 +0000
3db39fd2-7555-5a60-d7ff-b30c0a5e9915,42a600bf-c87b-1718-4f67-2fb0f38c3221,2016-04-16 05:58:48 +0000,2016-04-16 05:58:48 +0000
3db39fd2-7555-5a60-d7ff-b30c0a5e9915,42a600bf-c87b-1718-4f67-2fb0f38c3221,2016-04-16 05:58:48 +0000,2016-04-16 05:58:48 +0000
3db39fd2-7555-5a60-d7ff-b30c0a5e9915,42a600bf-c87b-1718-4f67-2fb0f38c3221,2016-04-16 05:58:48 +0000,2016-04-16 05:58:48 +0000
3db39fd2-7555-5a60-d7ff-b30c0a5e9915,8b2bf2df-f003-d335-b340-7f6bb1996e02,2016-04-16 05:57:48 +0000,2016-04-16 05:57:48 +0000
3db39fd2-7555-5a60-d7ff-b30c0a5e9915,8b2bf2df-f003-d335-b340-7f6bb1996e02,2016-04-16 05:57:48 +0000,2016-04-16 05:57:48 +0000
3db39fd2-7555-5a60-d7ff-b30c0a5e9915,8b2bf2df-f003-d335-b340-7f6bb1996e02,2016-04-16 05:57:48 +0000,2016-04-16 05:57:48 +0000
3db39fd2-7555-5a60-d7ff-b30c0a5e9915,8b2bf2df-f003-d335-b340-7f6bb1996e02,2016-04-16 05:57:48 +0000,2016-04-16 05:57:48 +0000
3db39fd2-7555-5a60-d7ff-b30c0a5e9915,0a800498-a089-2c63-a547-49300041862e,2016-04-16 05:50:10 +0000,2016-04-16 05:50:10 +0000
3db39fd2-7555-5a60-d7ff-b30c0a5e9915,0a800498-a089-2c63-a547-49300041862e,2016-04-16 05:50:10 +0000,2016-04-16 05:50:10 +0000
3db39fd2-7555-5a60-d7ff-b30c0a5e9915,0a800498-a089-2c63-a547-49300041862e,2016-04-16 05:50:10 +0000,2016-04-16 05:50:10 +0000
3db39fd2-7555-5a60-d7ff-b30c0a5e9915,0a800498-a089-2c63-a547-49300041862e,2016-04-16 05:50:10 +0000,2016-04-16 05:50:10 +0000
eafd9f84-4422-7845-0ddd-56b9d9776923,0626f14a-2a23-b7d3-480e-7e0f48674b15,2016-04-15 22:11:57 +0000,2016-04-15 22:11:57 +0000
3db39fd2-7555-5a60-d7ff-b30c0a5e9915,8718f09b-6b5b-e3fd-9b2f-583d2ba1c239,2016-04-15 21:49:49 +0000,2016-04-15 21:49:49 +0000
3db39fd2-7555-5a60-d7ff-b30c0a5e9915,8718f09b-6b5b-e3fd-9b2f-583d2ba1c239,2016-04-15 21:49:49 +0000,2016-04-15 21:49:49 +0000
3db39fd2-7555-5a60-d7ff-b30c0a5e9915,8718f09b-6b5b-e3fd-9b2f-583d2ba1c239,2016-04-15 21:49:49 +0000,2016-04-15 21:49:49 +0000
3db39fd2-7555-5a60-d7ff-b30c0a5e9915,8718f09b-6b5b-e3fd-9b2f-583d2ba1c239,2016-04-15 21:49:49 +0000,2016-04-15 21:49:49 +0000
08d635e5-fce1-c4f7-d3fb-5b7286415b04,f39594a7-c426-aa23-e11f-1e32d03e1cee,2016-04-15 19:01:34 +0000,2016-04-15 19:01:34 +0000
32ebe156-8c3d-e68c-1242-4bd2e884d5e8,66120225-ce40-6f20-2021-0c5e363a2e26,2016-04-15 16:33:38 +0000,2016-04-15 16:33:38 +0000
32ebe156-8c3d-e68c-1242-4bd2e884d5e8,66120225-ce40-6f20-2021-0c5e363a2e26,2016-04-15 16:33:38 +0000,2016-04-15 16:33:38 +0000
32ebe156-8c3d-e68c-1242-4bd2e884d5e8,767fba43-e72f-787b-837c-03a6c8a99835,2016-04-15 16:33:04 +0000,2016-04-15 16:33:04 +0000
32ebe156-8c3d-e68c-1242-4bd2e884d5e8,767fba43-e72f-787b-837c-03a6c8a99835,2016-04-15 16:33:04 +0000,2016-04-15 16:33:04 +0000
f93d65c7-11da-f085-0bdd-d54510f77a41,20c26fb5-698c-fc78-901a-5194a8052bdc,2016-04-15 15:46:43 +0000,2016-04-15 15:46:43 +0000
f93d65c7-11da-f085-0bdd-d54510f77a41,20c26fb5-698c-fc78-901a-5194a8052bdc,2016-04-15 15:46:43 +0000,2016-04-15 15:46:43 +0000
f93d65c7-11da-f085-0bdd-d54510f77a41,e554c3bb-48eb-dee4-c23a-3942a1961586,2016-04-15 15:45:36 +0000,2016-04-15 15:45:36 +0000
f93d65c7-11da-f085-0bdd-d54510f77a41,e554c3bb-48eb-dee4-c23a-3942a1961586,2016-04-15 15:45:36 +0000,2016-04-15 15:45:36 +0000
d1db1ef3-5632-00d4-bda2-02aa2fd46c0f,c15df3f5-934a-f035-3871-e48e299d1f04,2016-04-15 14:30:15 +0000,2016-04-15 14:30:15 +0000
aa4366bb-eade-bc08-a10e-4daf486a46a4,979e3e21-aebd-f039-9d7a-5dbd54006f34,2016-04-15 12:29:21 +0000,2016-04-15 12:29:21 +0000
aa4366bb-eade-bc08-a10e-4daf486a46a4,979e3e21-aebd-f039-9d7a-5dbd54006f34,2016-04-15 12:29:21 +0000,2016-04-15 12:29:21 +0000
aa4366bb-eade-bc08-a10e-4daf486a46a4,47d372c2-f28c-91b0-da73-6d2cc13aa170,2016-04-15 12:28:38 +0000,2016-04-15 12:28:38 +0000
