entity_uuid,competitor_uuid,created_at,updated_at
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,de5a25ce-a16e-91d2-e629-1e98b1cd00e3,2016-04-14 17:38:06 +0000,2016-04-14 17:38:06 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,de5a25ce-a16e-91d2-e629-1e98b1cd00e3,2016-04-14 17:38:06 +0000,2016-04-14 17:38:06 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,de5a25ce-a16e-91d2-e629-1e98b1cd00e3,2016-04-14 17:38:06 +0000,2016-04-14 17:38:06 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,de5a25ce-a16e-91d2-e629-1e98b1cd00e3,2016-04-14 17:38:06 +0000,2016-04-14 17:38:06 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,de5a25ce-a16e-91d2-e629-1e98b1cd00e3,2016-04-14 17:38:06 +0000,2016-04-14 17:38:06 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,de5a25ce-a16e-91d2-e629-1e98b1cd00e3,2016-04-14 17:38:06 +0000,2016-04-14 17:38:06 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7eb0e8d-f85a-813d-7646-3167f606d028,2016-04-14 17:38:03 +0000,2016-04-14 17:38:03 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7eb0e8d-f85a-813d-7646-3167f606d028,2016-04-14 17:38:03 +0000,2016-04-14 17:38:03 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7eb0e8d-f85a-813d-7646-3167f606d028,2016-04-14 17:38:03 +0000,2016-04-14 17:38:03 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7eb0e8d-f85a-813d-7646-3167f606d028,2016-04-14 17:38:03 +0000,2016-04-14 17:38:03 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7eb0e8d-f85a-813d-7646-3167f606d028,2016-04-14 17:38:03 +0000,2016-04-14 17:38:03 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7eb0e8d-f85a-813d-7646-3167f606d028,2016-04-14 17:38:03 +0000,2016-04-14 17:38:03 +0000
8cc4ea72-f66e-f9da-0fd7-14bba7754ba4,21fadd92-e006-eb11-6003-d9abd53c1076,2016-04-14 17:36:38 +0000,2016-04-14 17:36:38 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e20d934e-de48-9de9-bfc1-b1b2dcc6fcc4,2016-04-14 17:36:12 +0000,2016-04-14 17:36:12 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e20d934e-de48-9de9-bfc1-b1b2dcc6fcc4,2016-04-14 17:36:12 +0000,2016-04-14 17:36:12 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e20d934e-de48-9de9-bfc1-b1b2dcc6fcc4,2016-04-14 17:36:12 +0000,2016-04-14 17:36:12 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e20d934e-de48-9de9-bfc1-b1b2dcc6fcc4,2016-04-14 17:36:12 +0000,2016-04-14 17:36:12 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e20d934e-de48-9de9-bfc1-b1b2dcc6fcc4,2016-04-14 17:36:12 +0000,2016-04-14 17:36:12 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e20d934e-de48-9de9-bfc1-b1b2dcc6fcc4,2016-04-14 17:36:12 +0000,2016-04-14 17:36:12 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7ef4dca-9300-233c-18eb-c7d433e3dd41,2016-04-14 17:36:03 +0000,2016-04-14 17:36:03 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7ef4dca-9300-233c-18eb-c7d433e3dd41,2016-04-14 17:36:03 +0000,2016-04-14 17:36:03 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7ef4dca-9300-233c-18eb-c7d433e3dd41,2016-04-14 17:36:03 +0000,2016-04-14 17:36:03 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7ef4dca-9300-233c-18eb-c7d433e3dd41,2016-04-14 17:36:03 +0000,2016-04-14 17:36:03 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7ef4dca-9300-233c-18eb-c7d433e3dd41,2016-04-14 17:36:03 +0000,2016-04-14 17:36:03 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7ef4dca-9300-233c-18eb-c7d433e3dd41,2016-04-14 17:36:03 +0000,2016-04-14 17:36:03 +0000
528f6ffe-c8e3-27e6-3877-83d5765e9e6b,abb04901-02ba-1ef8-e30c-3fd145bbb3e7,2016-04-14 16:54:54 +0000,2016-04-14 16:54:54 +0000
657d14da-1248-9e6d-c328-517ad651f227,e0abf17b-b425-d3ab-4b2a-831420b090ee,2016-04-14 16:24:06 +0000,2016-04-14 16:24:06 +0000
d7cdef3e-05a1-6677-8540-e76c0e344d36,54167e6f-4ccf-a63a-e833-7c0bc8ffe864,2016-04-14 13:05:51 +0000,2016-04-14 13:05:51 +0000
efd8dfab-f2ff-7829-a312-62abee8defb2,e217f4ac-0b45-e21b-207f-c0f6d4a9b8a3,2016-04-14 12:35:13 +0000,2016-04-14 12:35:13 +0000
e113bfc8-c8e6-df95-487e-b407ad1cc9fb,95c85173-18b0-a193-ee40-d15605756b7a,2016-04-14 10:54:12 +0000,2016-04-14 10:54:12 +0000
70080a75-494b-20fc-2801-f7465b6deeb8,61db3560-4983-c6ce-6eb9-31aaf814467b,2016-04-14 10:25:49 +0000,2016-04-14 10:25:49 +0000
b7664c8c-009f-478f-545e-601ff9d683b7,912c7020-d3c8-c695-0049-a4ab6396d068,2016-04-14 10:22:55 +0000,2016-04-14 10:22:55 +0000
44f436dc-02bf-db00-83da-a4b3257eecd6,dde60206-9786-7f8d-aa70-3aaf6395f9da,2016-04-14 07:14:37 +0000,2016-04-14 07:14:37 +0000
779e0684-43c8-3348-f146-81fac6f01be4,a9042057-9dda-5582-a6dc-19550c40c07e,2016-04-14 06:02:49 +0000,2016-04-14 06:02:49 +0000
