acquiree_name,acquiree_country_code,state_code,acquiree_region,acquiree_city,acquirer_name,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_on,price_usd,price,price_currency_code,acquiree_cb_url,acquirer_cb_url,acquiree_uuid,acquirer_uuid,acquisition_uuid
Eaton National Bank & Trust Co,USA,OH,Dayton,Eaton,LCNB National Bank,USA,OH,Cincinnati,Lebanon,2013-10-28,,,,https://www.crunchbase.com/organization/eaton-national-bank-trust-co,https://www.crunchbase.com/organization/lcnb-national-bank,2d026d2a-700c-ff42-a69e-7fd6abf5f705,5d704486-6164-5796-d925-8874ccd671f4,e04f076d-1365-a341-dcbf-f3875062548b
Virtela Technology Services,USA,CO,Denver,Greenwood Village,NTT Communications,JPN,,Tokyo,Tokyo,2013-10-28,,,,https://www.crunchbase.com/organization/virtela-technology-services,https://www.crunchbase.com/organization/ntt-communications,6f5c097c-4c37-fa03-a605-abb0b2696608,4fff24d4-d26b-a143-c5d6-f68309db1a06,a025c4a2-8b94-e95a-a080-950029106f32
DIIG,GBR,,,,DMGT,GBR,,London,London,2013-10-27,,75000000,GBP,https://www.crunchbase.com/organization/diig,https://www.crunchbase.com/organization/dmgt-plc,567e9fe5-8cb1-3d9d-b1de-deb65ebd1033,5315ab35-0363-f925-a26f-174aa7cea182,6a56d712-41a4-b033-9ec3-4e74336dff41
Endurance Lending Network,USA,CA,SF Bay Area,San Francisco,Funding Circle,USA,CA,SF Bay Area,San Francisco,2013-10-25,,,,https://www.crunchbase.com/organization/endurance-lending-network,https://www.crunchbase.com/organization/funding-circle,4bdd6852-868a-d34f-1c95-a662736db5cd,ac6cfe98-a031-1729-7816-d3387c300a25,7b0cf7c5-eba5-6649-c5be-664c56eb4e47
JMI,USA,IN,Indianapolis,Zionsville,Chime Communications PLC,GBR,,London,London,2013-10-25,,,,https://www.crunchbase.com/organization/jmi,https://www.crunchbase.com/organization/chime-communications-plc,637a881f-1eaa-a51e-8fda-17c62b464acc,bfce8189-064a-af9a-c784-2ab0d17db98c,e99a990b-9816-76f8-a89a-6509e7e1d8dd
The Wellness Corporation,USA,MA,Worcester,Shrewsbury,E4 Health,USA,TX,Dallas,Irving,2013-10-25,,,,https://www.crunchbase.com/organization/the-wellness-corporation,https://www.crunchbase.com/organization/e4-health,7d613644-fbaf-cb06-fab7-0fd80e5aaa9f,835c5adf-5527-341b-3615-9d769da9e2f6,25d51b8a-c454-808e-7a4b-4dbb999c8ae1
Arc90,USA,NY,New York City,New York,SFX Entertainment,USA,NY,New York City,New York,2013-10-24,,,,https://www.crunchbase.com/organization/arc90,https://www.crunchbase.com/organization/sfx-entertainment,7a9aa162-144c-4081-c260-74a696c547a4,767fba43-e72f-787b-837c-03a6c8a99835,31cca58f-685e-8d16-e9a3-e20c2d8fd813
BigMachines,USA,IL,Chicago,Deerfield,Oracle Corporation,USA,CA,SF Bay Area,Redwood Shores,2013-10-24,,,,https://www.crunchbase.com/organization/bigmachines,https://www.crunchbase.com/organization/oracle,a1197186-76de-f803-ba86-5d8ce49a542f,bef5bd4b-72c6-7877-d7ab-8bbe43f7bda7,e856d7c1-27cd-5f00-eca5-d2e69a00a20f
Cameleon Software,USA,IL,Chicago,Skokie,PROS Holdings,USA,TX,Houston,Houston,2013-10-24,,,,https://www.crunchbase.com/organization/cameleon-software,https://www.crunchbase.com/organization/pros-holdings,1606d4a2-d3e4-69ef-ab0f-68927a13da77,19ad3d00-896d-5ab4-a9d3-5e0acde02c90,b4ebdd60-885c-8ff6-fcde-0b2d8689a496
Celesio,DEU,,Stuttgart,Stuttgart,McKesson,USA,CA,SF Bay Area,San Francisco,2013-10-24,,,,https://www.crunchbase.com/organization/celesio,https://www.crunchbase.com/organization/mckesson,98d6bffa-32cc-55af-5c16-cf1e8f9f8b5c,1c41f4ce-92b4-371f-717b-69f7b8386dd0,4fdf7628-23ab-cfa2-f7a7-bc735172145c
